row_id,waktu,tweet_id,username,tweet,web,lokasi
37,5/2/2021 12:00,1.37E+18,Hasiid.jd,"salah target, tempat pariwisata dibuka sekolah ditutup maunya apa pemerintah? Ngajak ribut?",,
38,4/26/2021 16:35,1.37E+18,lukman pasha,"Pasar rakyat yang menjual sembako sehari-hari, diperbolehkan untuk buka seperti biasa dengan protokol kesehatan yang ketat. Pasar rakyat yang menjual selain kebutuhan pokok sehari-hari, bisa buka dengan kapasitas maksimal 50% sampai dengan pukul 15.00 waktu setempat dan pengaturan lebih lanjut dilakukan oleh Pemda.",,
39,2/8/2021 15:37,1.37E+18,hiyaa,"PKL, toko kelontong, agen/outlet voucher, pangkas rambut, laundry, pedagang asongan, bengkel kecil, cucian kendaraan, dan usaha kecil lain yang sejenis, diijinkan buka dengan protokol kesehatan ketat sampai dengan pukul 21.00 waktu setempat, yang pengaturan teknisnya diatur oleh Pemda.",,
40,3/24/2021 2:09,1.37E+18,bodong,"Warung makan, PKL, lapak jajanan dan sejenisnya yang memiliki tempat usaha di ruang terbuka diijinkan buka dengan protokol kesehatan ketat sampai dengan pukul 20.00 dan maksimum waktu makan untuk setiap pengunjung 20 menit",,
41,5/6/2021 0:56,1.37E+18,sektorekonomiA,"Dengan usaha keras kita bersama, Insya Allah kita bisa segera terbebas    dari    Covid-19, dan kegiatan sosial-  masyarakat bisa kembali normal",,
42,4/6/2021 4:41,1.37E+18,5MedRev,Jualan dibatasi sampai jam 9 malam.Kenapa garment kalau lembur sampai tengah malam tetep boleh????padahal berkurumun,,
43,5/1/2021 9:12,1.37E+18,Safira Ginanisa,"Kerjanya emang malam kok di razia, dasar koplak sudah gak punya hati nurani",,
44,5/6/2021 9:12,1.37E+18,Ryan Virgiawan,"Terlalu di besar-besarkan, pandemi covid-19 ini… Tidak mikir, orang yang penghasilannya dapat hari ini, untuk di makan besok",,
45,5/5/2021 6:41,1.37E+18,Afif Ardiansyah,"Kasihan masyarakat kecil pak, mareka susah buat makan saja masih sangat bingung, kerjaan nggak ada, semua tutup, kemana mana serba dibatasi, diam dirumah,...terus kami makan apa bapak Presiden",,
46,5/4/2021 2:22,1.37E+18,news radio,Aktivitas masyarakat jangan lah di batasi ....yg kena covid saja di kurung ....biar   tumbuh kembali berikan kebijakan yg bijaksana biar masyarakat tidak kelaparan Hilangkan   tu,,
47,5/4/2021 2:38,1.37E+18,haiLati,"Saya mohon dengan hormat bapak petugah yang sangat bijaksana ,,,, tolong pabrik garmen itu banyak kerumunan di tutup to pak jangan pilih,, itu orang    dari    mana,, kumpul jadi satu kok di biarkan ,,,,, jangan yang kecil,, kasihan pak trimakasih",,
48,5/4/2021 19:45,1.37E+18,Imam Bachtiar,Restoran-Mall Bisa Buka hingga Pukul 22.00 Wita h,,
49,5/4/2021 19:45,1.37E+18,Imam Bachtiar,Jualan dibatasi sampai jam 9 malam.Kenapa garment kalau lembur sampai tengah malam tetep boleh????padahal berkurumun,,
50,5/4/2021 20:15,1.37E+18,liputan7,"Kerjanya ninjau terus, giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??",,
51,3/10/2021 18:35,1.37E+18,damianHar,"Kafe RM Langgar PSBB, Bambang Ismadi Sebut Ketiga Kalinya ",,
52,3/10/2021 13:09,1.37E+18,agung mirzax,"Dua kafe di Dago, Kota Bandung disegel tim gugus tugas covid-19 karena melanggar dengan melebihi batas waktu operasional di saat pemberlakuan PSBB untuk memutus mata rantai penularan covid-19.",,
53,3/10/2021 16:13,1.37E+18,dwdw,"Langgar PSBB, 101 Perusahaan Ditutup Sementara ",,
54,3/10/2021 21:00,1.37E+18,adriansyah,BACOT!!! Tolak PSBB!! Tolak  !!. Tolak Lockdown!! Kagak ngaruh ya pantek!,,
55,2/24/2021 1:19,1.37E+18,Suwarno,PKL Hingga Pedagang Kecil di Malioboro Kompak Tolak   Diperpanjang,,
56,2/18/2021 23:30,1.37E+18,Ammari,"Yang punya warung makan ngomong ke Pol PePe: ""Kalian enak dapat gaji, kami dapat apa? "" Tolak   dan PSBB, orang yang nurut    dari    PSBB awal sudah lelah.",,
